"Exemplar.1","Exemplar.2","Group","Jaccard"
10,14,"P6",0.1
10,15,"P6",0.4
10,16,"P6",0.222
10,17,"P6",0.1
10,18,"P6",0.158
10,19,"P6",0.048
10,20,"P6",0
11,12,"P6",0.158
11,13,"P6",0
11,14,"P6",0.048
11,15,"P6",0.105
11,16,"P6",0.1
11,17,"P6",0.1
11,18,"P6",0
11,19,"P6",0.048
11,20,"P6",0.1
12,13,"P6",0.1
12,14,"P6",0.222
12,15,"P6",0.05
12,16,"P6",0.222
12,17,"P6",0.158
12,18,"P6",0.1
12,19,"P6",0.1
12,20,"P6",0.158
13,14,"P6",0.158
13,15,"P6",0.05
13,16,"P6",0.158
13,17,"P6",0.158
13,18,"P6",0.158
13,19,"P6",0.467
13,20,"P6",0
14,15,"P6",0
14,16,"P6",0.158
14,17,"P6",0.467
14,18,"P6",0.222
14,19,"P6",0.158
14,20,"P6",0.158
15,16,"P6",0.167
15,17,"P6",0
15,18,"P6",0.167
15,19,"P6",0.05
15,20,"P6",0.05
16,17,"P6",0.158
16,18,"P6",0.158
16,19,"P6",0.1
16,20,"P6",0
17,18,"P6",0.294
17,19,"P6",0.222
17,20,"P6",0.1
18,19,"P6",0.222
18,20,"P6",0.048
19,20,"P6",0.048
1,2,"P6M",0.158
1,3,"P6M",0.294
1,4,"P6M",0.158
1,5,"P6M",0.1
1,6,"P6M",0.222
1,7,"P6M",0.1
1,8,"P6M",0.048
1,9,"P6M",0.294
1,10,"P6M",0.1
1,11,"P6M",0.467
1,12,"P6M",0.222
1,13,"P6M",0.158
1,14,"P6M",0.1
1,15,"P6M",0.294
1,16,"P6M",0.1
1,17,"P6M",0.1
1,18,"P6M",0.1
1,19,"P6M",0.158
1,20,"P6M",0.222
2,3,"P6M",0.048
2,4,"P6M",0.158
2,5,"P6M",0.294
2,6,"P6M",0.294
2,7,"P6M",0.048
2,8,"P6M",0.467
2,9,"P6M",0.375
2,10,"P6M",0.375
2,11,"P6M",0.1
2,12,"P6M",0.048
2,13,"P6M",0.158
2,14,"P6M",0.222
2,15,"P6M",0.1
2,16,"P6M",0.158
2,17,"P6M",0.222
2,18,"P6M",0.048
2,19,"P6M",0.375
2,20,"P6M",0.375
3,4,"P6M",0.1
3,5,"P6M",0.1
3,6,"P6M",0.1
3,7,"P6M",0.294
3,8,"P6M",0.048
3,9,"P6M",0.158
3,10,"P6M",0.048
3,11,"P6M",0.294
3,12,"P6M",0.1
3,13,"P6M",0.222
3,14,"P6M",0
3,15,"P6M",0.375
3,16,"P6M",0.1
3,17,"P6M",0.1
3,18,"P6M",0.467
3,19,"P6M",0.1
3,20,"P6M",0.1
4,5,"P6M",0.222
4,6,"P6M",0.1
4,7,"P6M",0.1
4,8,"P6M",0.1
4,9,"P6M",0.222
4,10,"P6M",0.1
4,11,"P6M",0.294
4,12,"P6M",0.1
4,13,"P6M",0.158
4,14,"P6M",0.158
4,15,"P6M",0.1
4,16,"P6M",0.222
4,17,"P6M",0.1
4,18,"P6M",0.294
4,19,"P6M",0.1
4,20,"P6M",0.222
5,6,"P6M",0.1
5,7,"P6M",0.222
5,8,"P6M",0.1
5,9,"P6M",0.1
5,10,"P6M",0.158
5,11,"P6M",0.158
5,12,"P6M",0.1
5,13,"P6M",0.158
5,14,"P6M",0.158
5,15,"P6M",0.158
5,16,"P6M",0.158
5,17,"P6M",0.294
5,18,"P6M",0.158
5,19,"P6M",0.222
5,20,"P6M",0.294
6,7,"P6M",0.1
6,8,"P6M",0.222
6,9,"P6M",0.222
6,10,"P6M",0.375
6,11,"P6M",0.222
6,12,"P6M",0.1
6,13,"P6M",0.294
6,14,"P6M",0.294
6,15,"P6M",0.158
6,16,"P6M",0.1
6,17,"P6M",0.375
6,18,"P6M",0
6,19,"P6M",0.294
6,20,"P6M",0.158
7,8,"P6M",0.1
7,9,"P6M",0
7,10,"P6M",0.048
7,11,"P6M",0.1
7,12,"P6M",0.048
7,13,"P6M",0.222
7,14,"P6M",0.158
7,15,"P6M",0.222
7,16,"P6M",0.158
7,17,"P6M",0.222
7,18,"P6M",0.222
7,19,"P6M",0.1
7,20,"P6M",0.158
8,9,"P6M",0.222
8,10,"P6M",0.467
8,11,"P6M",0.048
8,12,"P6M",0.048
8,13,"P6M",0.222
8,14,"P6M",0.375
8,15,"P6M",0.1
8,16,"P6M",0.375
8,17,"P6M",0.1
8,18,"P6M",0.048
8,19,"P6M",0.294
8,20,"P6M",0.294
9,10,"P6M",0.222
9,11,"P6M",0.158
9,12,"P6M",0.048
9,13,"P6M",0.158
9,14,"P6M",0.222
9,15,"P6M",0.1
9,16,"P6M",0.222
