"Group","Exemplar.Row","Exemplar.Col","Jaccard"
"P31M",1,11,0.294
"P31M",2,11,0.222
"P31M",3,11,0.294
"P31M",4,11,0.158
"P31M",5,11,0.222
"P31M",6,11,0.158
"P31M",7,11,0.1
"P31M",8,11,0.158
"P31M",9,11,0.222
"P31M",10,11,0.222
"P31M",11,11,1
"P31M",12,11,0.1
"P31M",13,11,0.294
"P31M",14,11,0.222
"P31M",15,11,0.158
"P31M",16,11,0.048
"P31M",17,11,0.222
"P31M",18,11,0.222
"P31M",19,11,0.158
"P31M",20,11,0.158
"P31M",1,12,0.158
"P31M",2,12,0.048
"P31M",3,12,0.375
"P31M",4,12,0.222
"P31M",5,12,0.222
"P31M",6,12,0.158
"P31M",7,12,0.375
"P31M",8,12,0.1
"P31M",9,12,0.158
"P31M",10,12,0.158
"P31M",11,12,0.1
"P31M",12,12,1
"P31M",13,12,0.222
"P31M",14,12,0.294
"P31M",15,12,0.375
"P31M",16,12,0.158
"P31M",17,12,0.294
"P31M",18,12,0.048
"P31M",19,12,0.375
"P31M",20,12,0.294
"P31M",1,13,0.222
"P31M",2,13,0.158
"P31M",3,13,0.222
"P31M",4,13,0.158
"P31M",5,13,0.375
"P31M",6,13,0.222
"P31M",7,13,0.158
"P31M",8,13,0.158
"P31M",9,13,0.222
"P31M",10,13,0.1
"P31M",11,13,0.294
"P31M",12,13,0.222
"P31M",13,13,1
"P31M",14,13,0.158
"P31M",15,13,0.222
"P31M",16,13,0.222
"P31M",17,13,0.158
"P31M",18,13,0.294
"P31M",19,13,0.1
"P31M",20,13,0.222
"P31M",1,14,0.1
"P31M",2,14,0.158
"P31M",3,14,0.294
"P31M",4,14,0.158
"P31M",5,14,0.294
"P31M",6,14,0.158
"P31M",7,14,0.375
"P31M",8,14,0.158
"P31M",9,14,0.1
"P31M",10,14,0.158
"P31M",11,14,0.222
"P31M",12,14,0.294
"P31M",13,14,0.158
"P31M",14,14,1
